Iteration, Reward 
0,7.000000
1,4.000000
2,5.000000
3,3.000000
4,3.000000
5,9.000000
6,5.000000
7,8.000000
8,7.000000
9,4.000000
10,3.000000
11,8.000000
12,4.000000
13,5.000000
14,11.000000
15,5.000000
16,13.000000
17,5.000000
18,9.000000
19,5.000000
20,10.000000
21,8.000000
22,7.000000
23,17.000000
24,16.000000
25,8.000000
26,9.000000
27,10.000000
28,45.000000
29,6.000000
30,15.000000
31,9.000000
32,27.000000
33,8.000000
34,29.000000
35,29.000000
36,23.000000
37,18.000000
38,13.000000
39,16.000000
40,36.000000
41,12.000000
42,17.000000
43,14.000000
44,22.000000
45,23.000000
46,21.000000
47,36.000000
48,26.000000
49,5.000000
50,14.000000
51,20.000000
52,19.000000
53,14.000000
54,24.000000
55,26.000000
56,29.000000
57,17.000000
58,23.000000
59,20.000000
60,29.000000
61,22.000000
62,16.000000
63,25.000000
64,17.000000
65,13.000000
66,12.000000
67,18.000000
68,10.000000
69,7.000000
70,65.000000
71,28.000000
72,15.000000
73,40.000000
74,18.000000
75,20.000000
76,29.000000
77,18.000000
78,16.000000
79,14.000000
80,23.000000
81,14.000000
82,29.000000
83,42.000000
84,11.000000
85,31.000000
86,31.000000
87,39.000000
88,14.000000
89,14.000000
90,37.000000
91,66.000000
92,37.000000
93,45.000000
94,34.000000
95,14.000000
96,49.000000
97,29.000000
98,14.000000
99,56.000000
100,52.000000
101,27.000000
102,18.000000
103,18.000000
104,30.000000
105,50.000000
106,39.000000
107,38.000000
108,28.000000
109,55.000000
110,18.000000
111,66.000000
112,27.000000
113,54.000000
114,69.000000
115,28.000000
116,25.000000
117,27.000000
118,21.000000
119,22.000000
120,47.000000
121,28.000000
122,37.000000
123,18.000000
124,11.000000
125,35.000000
126,23.000000
127,57.000000
128,53.000000
129,64.000000
130,19.000000
131,23.000000
132,53.000000
133,38.000000
134,70.000000
135,91.000000
136,46.000000
137,26.000000
138,47.000000
139,52.000000
140,36.000000
141,55.000000
142,54.000000
143,111.000000
144,27.000000
145,47.000000
146,30.000000
147,47.000000
148,86.000000
149,62.000000
150,27.000000
151,42.000000
152,89.000000
153,100.000000
154,108.000000
155,107.000000
156,56.000000
157,50.000000
158,61.000000
159,81.000000
160,37.000000
161,80.000000
162,77.000000
163,37.000000
164,74.000000
165,161.000000
166,40.000000
167,111.000000
168,46.000000
169,96.000000
170,34.000000
171,78.000000
172,93.000000
173,82.000000
174,35.000000
175,72.000000
176,79.000000
177,50.000000
178,173.000000
179,170.000000
180,125.000000
181,13.000000
182,45.000000
183,76.000000
184,83.000000
185,62.000000
186,133.000000
187,78.000000
188,31.000000
189,79.000000
190,40.000000
191,41.000000
192,111.000000
193,81.000000
194,105.000000
195,74.000000
196,84.000000
197,98.000000
198,40.000000
199,102.000000
200,70.000000
201,78.000000
202,45.000000
203,153.000000
204,91.000000
205,68.000000
206,35.000000
207,41.000000
208,84.000000
209,52.000000
210,64.000000
211,47.000000
212,64.000000
213,55.000000
214,71.000000
215,93.000000
216,147.000000
217,98.000000
218,124.000000
219,100.000000
220,84.000000
221,108.000000
222,110.000000
223,80.000000
224,83.000000
225,141.000000
226,21.000000
227,42.000000
228,98.000000
229,95.000000
230,85.000000
231,67.000000
232,90.000000
233,73.000000
234,90.000000
235,83.000000
236,99.000000
237,71.000000
238,60.000000
239,88.000000
240,96.000000
241,77.000000
242,33.000000
243,53.000000
244,92.000000
245,112.000000
246,88.000000
247,78.000000
248,175.000000
249,47.000000
250,75.000000
251,21.000000
252,23.000000
253,94.000000
254,91.000000
255,135.000000
256,66.000000
257,94.000000
258,80.000000
259,81.000000
260,20.000000
261,119.000000
262,135.000000
263,98.000000
264,136.000000
265,96.000000
266,100.000000
267,74.000000
268,112.000000
269,29.000000
270,100.000000
271,111.000000
272,142.000000
273,198.000000
274,102.000000
275,94.000000
276,108.000000
277,33.000000
278,118.000000
279,117.000000
280,110.000000
281,59.000000
282,85.000000
283,166.000000
284,115.000000
285,87.000000
286,102.000000
287,96.000000
288,77.000000
289,60.000000
290,103.000000
291,38.000000
292,100.000000
293,54.000000
294,92.000000
295,123.000000
296,129.000000
297,94.000000
298,117.000000
299,88.000000
300,168.000000
301,147.000000
302,153.000000
303,111.000000
304,86.000000
305,93.000000
306,77.000000
307,90.000000
308,80.000000
309,73.000000
310,80.000000
311,125.000000
312,96.000000
313,141.000000
314,132.000000
315,89.000000
316,116.000000
317,123.000000
318,198.000000
319,141.000000
320,142.000000
321,198.000000
322,152.000000
323,100.000000
324,198.000000
325,174.000000
326,105.000000
327,113.000000
328,176.000000
329,142.000000
330,147.000000
331,124.000000
332,151.000000
333,198.000000
334,148.000000
335,198.000000
336,198.000000
337,142.000000
338,139.000000
339,82.000000
340,126.000000
341,68.000000
342,178.000000
343,198.000000
344,139.000000
345,54.000000
346,198.000000
347,182.000000
348,198.000000
349,171.000000
350,198.000000
351,198.000000
352,198.000000
353,198.000000
354,159.000000
355,168.000000
356,145.000000
357,135.000000
358,116.000000
359,169.000000
360,198.000000
361,115.000000
362,136.000000
363,198.000000
364,198.000000
365,198.000000
366,181.000000
367,198.000000
368,51.000000
369,126.000000
370,134.000000
371,198.000000
372,151.000000
373,198.000000
374,198.000000
375,198.000000
376,198.000000
377,69.000000
378,151.000000
379,125.000000
380,198.000000
381,198.000000
382,198.000000
383,198.000000
384,198.000000
385,195.000000
386,161.000000
387,104.000000
388,198.000000
389,198.000000
390,160.000000
391,88.000000
392,198.000000
393,198.000000
394,198.000000
395,146.000000
396,150.000000
397,169.000000
398,76.000000
399,23.000000
400,198.000000
401,147.000000
402,161.000000
403,135.000000
404,164.000000
405,189.000000
406,198.000000
407,166.000000
408,198.000000
409,123.000000
410,161.000000
411,32.000000
412,198.000000
413,198.000000
414,174.000000
415,137.000000
416,155.000000
417,198.000000
418,198.000000
419,104.000000
420,198.000000
421,195.000000
422,194.000000
423,198.000000
424,146.000000
425,149.000000
426,198.000000
427,133.000000
428,198.000000
429,192.000000
430,116.000000
431,198.000000
432,198.000000
433,198.000000
434,198.000000
435,198.000000
436,138.000000
437,40.000000
438,198.000000
439,90.000000
440,142.000000
441,198.000000
442,198.000000
443,198.000000
444,189.000000
445,198.000000
446,144.000000
447,198.000000
448,155.000000
449,164.000000
450,198.000000
451,198.000000
452,198.000000
453,198.000000
454,198.000000
455,198.000000
456,198.000000
457,198.000000
458,70.000000
459,198.000000
460,198.000000
461,198.000000
462,198.000000
463,198.000000
464,143.000000
465,198.000000
466,198.000000
467,198.000000
468,198.000000
469,198.000000
470,198.000000
471,198.000000
472,198.000000
473,198.000000
474,102.000000
475,198.000000
476,97.000000
477,151.000000
478,198.000000
479,198.000000
480,198.000000
481,198.000000
482,198.000000
483,198.000000
484,198.000000
485,198.000000
486,198.000000
487,145.000000
488,198.000000
489,198.000000
490,198.000000
491,198.000000
492,164.000000
493,88.000000
494,198.000000
495,127.000000
496,198.000000
497,178.000000
498,198.000000
499,144.000000
500,198.000000
501,191.000000
502,198.000000
503,157.000000
504,198.000000
505,176.000000
506,198.000000
507,145.000000
508,198.000000
509,198.000000
510,198.000000
511,153.000000
512,195.000000
513,198.000000
514,150.000000
515,198.000000
516,198.000000
517,135.000000
518,198.000000
519,198.000000
520,198.000000
521,198.000000
522,198.000000
523,198.000000
524,198.000000
525,119.000000
526,198.000000
527,172.000000
528,198.000000
529,198.000000
530,161.000000
531,198.000000
532,198.000000
533,198.000000
534,198.000000
535,198.000000
536,198.000000
537,198.000000
538,198.000000
539,198.000000
540,198.000000
541,198.000000
542,198.000000
543,198.000000
544,198.000000
545,198.000000
546,182.000000
547,178.000000
548,198.000000
549,198.000000
550,191.000000
551,198.000000
552,198.000000
553,198.000000
554,198.000000
555,198.000000
556,198.000000
557,140.000000
558,198.000000
559,198.000000
560,198.000000
561,140.000000
562,198.000000
563,150.000000
564,198.000000
565,175.000000
566,174.000000
567,198.000000
568,198.000000
569,145.000000
570,170.000000
571,198.000000
572,198.000000
573,198.000000
574,198.000000
575,198.000000
576,198.000000
577,198.000000
578,198.000000
579,160.000000
580,140.000000
581,162.000000
582,175.000000
583,144.000000
584,198.000000
585,162.000000
586,198.000000
587,198.000000
588,198.000000
589,198.000000
590,198.000000
591,198.000000
592,198.000000
593,198.000000
594,198.000000
595,198.000000
596,198.000000
597,198.000000
598,198.000000
599,198.000000
600,198.000000
601,198.000000
602,198.000000
603,198.000000
604,198.000000
605,180.000000
606,198.000000
607,198.000000
608,198.000000
609,198.000000
610,193.000000
611,139.000000
612,198.000000
613,198.000000
614,198.000000
615,135.000000
616,68.000000
617,198.000000
618,198.000000
619,198.000000
620,198.000000
621,198.000000
622,198.000000
623,198.000000
624,198.000000
625,198.000000
626,62.000000
627,63.000000
628,198.000000
629,198.000000
630,198.000000
631,198.000000
632,198.000000
633,198.000000
634,198.000000
635,86.000000
636,76.000000
637,198.000000
638,198.000000
639,198.000000
640,162.000000
641,198.000000
642,198.000000
643,198.000000
644,198.000000
645,198.000000
646,198.000000
647,198.000000
648,198.000000
649,192.000000
650,198.000000
651,159.000000
652,198.000000
653,198.000000
654,198.000000
655,198.000000
656,198.000000
657,198.000000
658,198.000000
659,198.000000
660,198.000000
661,191.000000
662,198.000000
663,195.000000
664,198.000000
665,198.000000
666,137.000000
667,198.000000
668,198.000000
669,198.000000
670,198.000000
671,198.000000
672,198.000000
673,198.000000
674,198.000000
675,115.000000
676,198.000000
677,198.000000
678,198.000000
679,198.000000
680,198.000000
681,198.000000
682,198.000000
683,198.000000
684,198.000000
685,198.000000
686,198.000000
687,198.000000
688,198.000000
689,198.000000
690,198.000000
691,161.000000
692,143.000000
693,198.000000
694,198.000000
695,198.000000
696,198.000000
697,198.000000
698,198.000000
699,198.000000
700,159.000000
701,198.000000
702,198.000000
703,198.000000
704,198.000000
705,198.000000
706,198.000000
707,198.000000
708,198.000000
709,198.000000
710,189.000000
711,198.000000
712,198.000000
713,198.000000
714,198.000000
715,142.000000
716,198.000000
717,198.000000
718,198.000000
719,198.000000
720,165.000000
721,198.000000
722,198.000000
723,175.000000
724,198.000000
725,158.000000
726,198.000000
727,198.000000
728,198.000000
729,198.000000
730,198.000000
731,198.000000
732,198.000000
733,198.000000
734,177.000000
735,198.000000
736,198.000000
737,198.000000
738,198.000000
739,198.000000
740,198.000000
741,198.000000
742,198.000000
743,198.000000
744,198.000000
745,198.000000
746,198.000000
747,198.000000
748,198.000000
749,198.000000
750,197.000000
751,198.000000
752,198.000000
753,198.000000
754,198.000000
755,198.000000
756,198.000000
757,198.000000
758,198.000000
759,171.000000
760,126.000000
761,185.000000
762,198.000000
763,198.000000
764,198.000000
765,198.000000
766,198.000000
767,198.000000
768,194.000000
769,168.000000
770,198.000000
771,198.000000
772,168.000000
773,187.000000
774,197.000000
775,146.000000
776,198.000000
777,198.000000
778,92.000000
779,198.000000
780,198.000000
781,198.000000
782,198.000000
783,198.000000
784,198.000000
785,198.000000
786,198.000000
787,193.000000
788,198.000000
789,198.000000
790,198.000000
791,198.000000
792,198.000000
793,198.000000
794,198.000000
795,198.000000
796,198.000000
797,198.000000
798,198.000000
799,198.000000
800,155.000000
801,175.000000
802,198.000000
803,198.000000
804,140.000000
805,198.000000
806,156.000000
807,198.000000
808,198.000000
809,198.000000
810,198.000000
811,198.000000
812,198.000000
813,198.000000
814,198.000000
815,198.000000
816,198.000000
817,196.000000
818,198.000000
819,180.000000
820,170.000000
821,198.000000
822,198.000000
823,180.000000
824,198.000000
825,198.000000
826,198.000000
827,132.000000
828,198.000000
829,198.000000
830,198.000000
831,198.000000
832,198.000000
833,180.000000
834,198.000000
835,198.000000
836,94.000000
837,181.000000
838,194.000000
839,198.000000
840,198.000000
841,198.000000
842,198.000000
843,198.000000
844,198.000000
845,198.000000
846,198.000000
847,198.000000
848,198.000000
849,138.000000
850,119.000000
851,198.000000
852,198.000000
853,162.000000
854,198.000000
855,143.000000
856,180.000000
857,198.000000
858,198.000000
859,188.000000
860,198.000000
861,198.000000
862,198.000000
863,172.000000
864,195.000000
865,169.000000
866,198.000000
867,169.000000
868,164.000000
869,187.000000
870,198.000000
871,198.000000
872,198.000000
873,198.000000
874,198.000000
875,140.000000
876,198.000000
877,198.000000
878,194.000000
879,155.000000
880,163.000000
881,178.000000
882,187.000000
883,149.000000
884,175.000000
885,173.000000
886,158.000000
887,198.000000
888,198.000000
889,143.000000
890,140.000000
891,198.000000
892,198.000000
893,191.000000
894,198.000000
895,198.000000
896,188.000000
897,198.000000
898,167.000000
899,198.000000
900,198.000000
901,186.000000
902,198.000000
903,129.000000
904,147.000000
905,198.000000
906,198.000000
907,198.000000
908,198.000000
909,148.000000
910,126.000000
911,157.000000
912,106.000000
913,178.000000
914,197.000000
915,116.000000
916,129.000000
917,163.000000
918,117.000000
919,182.000000
920,174.000000
921,198.000000
922,198.000000
923,198.000000
924,186.000000
925,198.000000
926,191.000000
927,198.000000
928,170.000000
929,140.000000
930,172.000000
931,198.000000
932,198.000000
933,142.000000
934,174.000000
935,198.000000
936,198.000000
937,198.000000
938,198.000000
939,198.000000
940,198.000000
941,198.000000
942,94.000000
943,198.000000
944,198.000000
945,198.000000
946,198.000000
947,198.000000
948,198.000000
949,198.000000
950,198.000000
951,140.000000
952,187.000000
953,198.000000
954,198.000000
955,198.000000
956,198.000000
957,198.000000
958,198.000000
959,198.000000
960,198.000000
961,198.000000
962,198.000000
963,177.000000
964,198.000000
965,189.000000
966,115.000000
967,198.000000
968,198.000000
969,198.000000
970,190.000000
971,149.000000
972,198.000000
973,198.000000
974,198.000000
975,198.000000
976,198.000000
977,198.000000
978,198.000000
979,198.000000
980,198.000000
981,198.000000
982,198.000000
983,198.000000
984,198.000000
985,168.000000
986,198.000000
987,198.000000
988,198.000000
989,198.000000
990,198.000000
991,198.000000
992,198.000000
993,198.000000
994,198.000000
995,194.000000
996,198.000000
997,182.000000
998,198.000000
999,198.000000
1000,198.000000
1001,198.000000
1002,198.000000
1003,198.000000
1004,175.000000
1005,198.000000
1006,156.000000
1007,198.000000
1008,198.000000
1009,198.000000
1010,198.000000
1011,198.000000
1012,198.000000
1013,198.000000
1014,166.000000
1015,198.000000
1016,198.000000
1017,198.000000
1018,196.000000
1019,189.000000
1020,153.000000
1021,198.000000
1022,181.000000
1023,153.000000
